date,EB/WB,stop,bunch,gap,"delay time (5,19]","delay time (19,120]",No. of Veh,Run time (min),Term time (min),Avg. spd (km/h),RT dist (km),Interruption
2025-08-11 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
2025-08-12 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
2025-08-13 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
2025-08-14 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
2025-08-15 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
2025-08-16 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,17.2,147.6,11.4,12.440000000000001,30.130000000000003,0
2025-08-17 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,14.8,135.6,13.2,13.459999999999999,30.130000000000003,0
2025-08-18 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
2025-08-19 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
2025-08-20 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
2025-08-21 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
2025-08-22 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
2025-08-23 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,17.2,147.6,11.4,12.440000000000001,30.130000000000003,0
2025-08-24 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,14.8,135.6,13.2,13.459999999999999,30.130000000000003,0
2025-08-25 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
2025-08-26 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
2025-08-27 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
2025-08-28 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
2025-08-29 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
2025-08-30 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,17.2,147.6,11.4,12.440000000000001,30.130000000000003,0
2025-08-31 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,14.8,135.6,13.2,13.459999999999999,30.130000000000003,0
2025-09-01 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
2025-09-02 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
2025-09-03 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
2025-09-04 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
2025-09-05 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
2025-09-06 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,17.2,147.6,11.4,12.440000000000001,30.130000000000003,0
2025-09-07 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,14.8,135.6,13.2,13.459999999999999,30.130000000000003,0
2025-09-08 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
2025-09-09 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
2025-09-10 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
2025-09-11 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
2025-09-12 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
2025-09-13 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,17.2,147.6,11.4,12.440000000000001,30.130000000000003,0
2025-09-14 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,14.8,135.6,13.2,13.459999999999999,30.130000000000003,0
2025-09-15 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
2025-09-16 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
2025-09-17 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
2025-09-18 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
2025-09-19 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
2025-09-20 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,17.2,147.6,11.4,12.440000000000001,30.130000000000003,0
2025-09-21 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,14.8,135.6,13.2,13.459999999999999,30.130000000000003,0
2025-09-22 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
2025-09-23 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
2025-09-24 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
2025-09-25 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
2025-09-26 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
2025-09-27 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,17.2,147.6,11.4,12.440000000000001,30.130000000000003,0
2025-09-28 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,14.8,135.6,13.2,13.459999999999999,30.130000000000003,0
2025-09-29 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
2025-09-30 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
2025-10-01 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
2025-10-02 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
2025-10-03 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
2025-10-04 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,17.2,147.6,11.4,12.440000000000001,30.130000000000003,0
2025-10-05 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,14.8,135.6,13.2,13.459999999999999,30.130000000000003,0
2025-10-06 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
2025-10-07 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
2025-10-08 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
2025-10-09 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
2025-10-10 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
2025-10-11 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,17.2,147.6,11.4,12.440000000000001,30.130000000000003,0
2025-10-12 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.6,158.2,7.8,12.42,32.49,1
2025-10-13 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
2025-10-14 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.2,180.4,11.6,10.88,32.49,1
2025-10-15 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.2,180.4,11.6,10.88,32.49,1
2025-10-16 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.2,180.4,11.6,10.88,32.49,1
2025-10-17 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.2,180.4,11.6,10.88,32.49,1
2025-10-18 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.4,170.4,9.0,11.6,32.49,1
2025-10-19 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.6,158.2,7.8,12.42,32.49,1
2025-10-20 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.2,180.4,11.6,10.88,32.49,1
2025-10-21 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.2,180.4,11.6,10.88,32.49,1
2025-10-22 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.2,180.4,11.6,10.88,32.49,1
2025-10-23 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.2,180.4,11.6,10.88,32.49,1
2025-10-24 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.2,180.4,11.6,10.88,32.49,1
2025-10-25 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.4,170.4,9.0,11.6,32.49,1
2025-10-26 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.6,158.2,7.8,12.42,32.49,1
2025-10-27 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.2,180.4,11.6,10.88,32.49,1
2025-10-28 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.2,180.4,11.6,10.88,32.49,1
2025-10-29 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.2,180.4,11.6,10.88,32.49,1
2025-10-30 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.2,180.4,11.6,10.88,32.49,1
2025-10-31 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.2,180.4,11.6,10.88,32.49,1
2025-11-01 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.4,170.4,9.0,11.6,32.49,1
2025-11-02 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.6,158.2,7.8,12.42,32.49,1
2025-11-03 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.2,180.4,11.6,10.88,32.49,1
2025-11-04 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.2,180.4,11.6,10.88,32.49,1
2025-11-05 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.2,180.4,11.6,10.88,32.49,1
2025-11-06 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.2,180.4,11.6,10.88,32.49,1
2025-11-07 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.2,180.4,11.6,10.88,32.49,1
2025-11-08 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.4,170.4,9.0,11.6,32.49,1
2025-11-09 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.6,158.2,7.8,12.42,32.49,1
2025-11-10 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.2,180.4,11.6,10.88,32.49,1
2025-11-11 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.2,180.4,11.6,10.88,32.49,1
2025-11-12 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.2,180.4,11.6,10.88,32.49,1
2025-11-13 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.2,180.4,11.6,10.88,32.49,1
2025-11-14 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.2,180.4,11.6,10.88,32.49,1
2025-11-15 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.4,170.4,9.0,11.6,32.49,1
2025-11-16 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.6,158.2,7.8,12.42,32.49,1
2025-11-17 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.2,180.4,11.6,10.88,32.49,1
2025-11-18 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.2,180.4,11.6,10.88,32.49,1
2025-11-19 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.2,180.4,11.6,10.88,32.49,1
2025-11-20 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.2,180.4,11.6,10.88,32.49,1
2025-11-21 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.2,180.4,11.6,10.88,32.49,1
2025-11-22 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.4,170.4,9.0,11.6,32.49,1
2025-11-23 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.6,158.2,7.8,12.42,32.49,1
2025-11-24 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.2,180.4,11.6,10.88,32.49,1
2025-11-25 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.2,180.4,11.6,10.88,32.49,1
2025-11-26 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.2,180.4,11.6,10.88,32.49,1
2025-11-27 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.2,180.4,11.6,10.88,32.49,1
2025-11-28 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.2,180.4,11.6,10.88,32.49,1
2025-11-29 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.4,170.4,9.0,11.6,32.49,1
2025-11-30 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.6,158.2,7.8,12.42,32.49,1
2025-12-01 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.2,180.4,11.6,10.88,32.49,1
2025-12-02 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.2,180.4,11.6,10.88,32.49,1
2025-12-03 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.2,180.4,11.6,10.88,32.49,1
2025-12-04 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.2,180.4,11.6,10.88,32.49,1
2025-12-05 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.2,180.4,11.6,10.88,32.49,1
2025-12-06 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.4,170.4,9.0,11.6,32.49,1
2025-12-07 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.6,158.2,7.8,12.42,32.49,1
2025-12-08 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.2,180.4,11.6,10.88,32.49,1
2025-12-09 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.2,180.4,11.6,10.88,32.49,1
2025-12-10 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.2,180.4,11.6,10.88,32.49,1
2025-12-11 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.2,180.4,11.6,10.88,32.49,1
2025-12-12 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.2,180.4,11.6,10.88,32.49,1
2025-12-13 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.4,170.4,9.0,11.6,32.49,1
2025-12-14 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.6,158.2,7.8,12.42,32.49,1
2025-12-15 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.2,180.4,11.6,10.88,32.49,1
2025-12-16 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.2,180.4,11.6,10.88,32.49,1
2025-12-17 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.2,180.4,11.6,10.88,32.49,1
2025-12-18 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.2,180.4,11.6,10.88,32.49,1
2025-12-19 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.2,180.4,11.6,10.88,32.49,1
2025-12-20 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.4,170.4,9.0,11.6,32.49,1
2025-12-21 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,14.8,135.6,12.4,14.52,32.49,0
2025-12-22 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,155.6,8.4,12.68,32.49,0
2025-12-23 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,155.6,8.4,12.68,32.49,0
2025-12-24 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,155.6,8.4,12.68,32.49,0
2025-12-25 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,155.6,8.4,12.68,32.49,0
2025-12-26 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,155.6,8.4,12.68,32.49,0
2025-12-27 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.4,170.4,9.0,11.6,32.49,1
2025-12-28 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,14.8,135.6,12.4,14.52,32.49,0
2025-12-29 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,155.6,8.4,12.68,32.49,0
2025-12-30 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,155.6,8.4,12.68,32.49,0
2025-12-31 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,155.6,8.4,12.68,32.49,0
2026-01-01 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,155.6,8.4,12.68,32.49,0
2026-01-02 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,155.6,8.4,12.68,32.49,0
2026-01-03 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.4,170.4,9.0,11.6,32.49,1
2026-01-04 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,14.8,135.6,12.4,14.52,32.49,0
2026-01-05 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,155.6,8.4,12.68,32.49,0
2026-01-06 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,155.6,8.4,12.68,32.49,0
2026-01-07 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,155.6,8.4,12.68,32.49,0
2026-01-08 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,155.6,8.4,12.68,32.49,0
2026-01-09 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,155.6,8.4,12.68,32.49,0
2026-01-10 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.4,170.4,9.0,11.6,32.49,1
2026-01-11 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,14.8,135.6,12.4,14.52,32.49,0
2026-01-12 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,155.6,8.4,12.68,32.49,0
2026-01-13 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,155.6,8.4,12.68,32.49,0
2026-01-14 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,155.6,8.4,12.68,32.49,0
2026-01-15 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,155.6,8.4,12.68,32.49,0
2026-01-16 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,155.6,8.4,12.68,32.49,0
2026-01-17 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.4,170.4,9.0,11.6,32.49,1
2026-01-18 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,14.8,135.6,12.4,14.52,32.49,0
2026-01-19 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,155.6,8.4,12.68,32.49,0
2026-01-20 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,155.6,8.4,12.68,32.49,0
2026-01-21 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,155.6,8.4,12.68,32.49,0
2026-01-22 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,155.6,8.4,12.68,32.49,0
2026-01-23 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,155.6,8.4,12.68,32.49,0
2026-01-24 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.4,170.4,9.0,11.6,32.49,1
2026-01-25 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,14.8,135.6,12.4,14.52,32.49,0
2026-01-26 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,155.6,8.4,12.68,32.49,0
2026-01-27 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,155.6,8.4,12.68,32.49,0
2026-01-28 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,155.6,8.4,12.68,32.49,0
2026-01-29 00:00:00,E,Main St at Gerrard St East,0,0,6.066666666666666,0.0,16.4,155.6,8.4,12.68,32.49,0
2026-01-30 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,155.6,8.4,12.68,32.49,0
2026-01-31 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.4,170.4,9.0,11.6,32.49,1
2026-02-01 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,14.8,135.6,12.4,14.52,32.49,0
2026-02-02 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,155.6,8.4,12.68,32.49,0
2026-02-03 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,155.6,8.4,12.68,32.49,0
2026-02-04 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,155.6,8.4,12.68,32.49,0
2026-02-05 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,155.6,8.4,12.68,32.49,0
2026-02-06 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,155.6,8.4,12.68,32.49,0
2026-02-07 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.4,170.4,9.0,11.6,32.49,1
2026-02-08 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,14.8,135.6,12.4,14.52,32.49,0
2026-02-09 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,155.6,8.4,12.68,32.49,0
2026-02-10 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,155.6,8.4,12.68,32.49,0
2026-02-11 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,155.6,8.4,12.68,32.49,0
2026-02-12 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,155.6,8.4,12.68,32.49,0
2026-02-13 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,155.6,8.4,12.68,32.49,0
2026-02-14 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.4,170.4,9.0,11.6,32.49,1
2026-02-15 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,14.8,135.6,12.4,14.52,32.49,0
2026-02-16 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,155.6,8.4,12.68,32.49,0
2026-02-17 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,155.6,8.4,12.68,32.49,0
2026-02-18 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,155.6,8.4,12.68,32.49,0
2026-02-19 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,155.6,8.4,12.68,32.49,0
2026-02-20 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,155.6,8.4,12.68,32.49,0
2026-02-21 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,19.4,170.4,9.0,11.6,32.49,1
2026-02-22 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,14.8,135.6,12.4,14.52,32.49,0
2026-02-23 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,155.6,8.4,12.68,32.49,0
2026-02-24 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,155.6,8.4,12.68,32.49,0
2026-02-25 00:00:00,E,Main St at Gerrard St East,0,1,0.0,0.0,16.4,155.6,8.4,12.68,32.49,0
2026-02-26 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,155.6,8.4,12.68,32.49,0
2026-02-27 00:00:00,E,Main St at Gerrard St East,0,0,0.0,0.0,16.4,155.6,8.4,12.68,32.49,0
2024-07-30 00:00:00,W,Indian Rd,1,4,97.93333333333334,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
2024-07-31 00:00:00,W,Indian Rd,3,10,189.54999999999998,49.416666666666664,16.4,153.4,10.6,11.92,30.130000000000003,0
2024-08-01 00:00:00,W,Indian Rd,0,0,0.0,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
2024-08-02 00:00:00,W,Indian Rd,0,0,0.0,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
2024-08-03 00:00:00,W,Indian Rd,0,0,0.0,0.0,16.0,147.2,12.8,12.459999999999999,30.130000000000003,0
2024-08-04 00:00:00,W,Indian Rd,0,0,0.0,0.0,14.8,135.6,12.4,13.459999999999999,30.130000000000003,0
2024-08-05 00:00:00,W,Indian Rd,0,0,0.0,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
2024-08-06 00:00:00,W,Indian Rd,0,0,0.0,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
2024-08-07 00:00:00,W,Indian Rd,0,0,0.0,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
2024-08-08 00:00:00,W,Indian Rd,0,0,0.0,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
2024-08-09 00:00:00,W,Indian Rd,0,0,0.0,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
2024-08-10 00:00:00,W,Indian Rd,0,0,0.0,0.0,16.0,147.2,12.8,12.459999999999999,30.130000000000003,0
2024-08-11 00:00:00,W,Indian Rd,0,0,0.0,0.0,14.8,135.6,12.4,13.459999999999999,30.130000000000003,0
2024-08-12 00:00:00,W,Indian Rd,0,0,0.0,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
2024-08-13 00:00:00,W,Indian Rd,0,0,0.0,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
2024-08-14 00:00:00,W,Indian Rd,0,0,0.0,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
2024-08-15 00:00:00,W,Indian Rd,0,0,0.0,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
2024-08-16 00:00:00,W,Indian Rd,0,0,0.0,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
2024-08-17 00:00:00,W,Indian Rd,0,0,0.0,0.0,16.0,147.2,12.8,12.459999999999999,30.130000000000003,0
2024-08-18 00:00:00,W,Indian Rd,0,0,0.0,0.0,14.8,135.6,12.4,13.459999999999999,30.130000000000003,0
2024-08-19 00:00:00,W,Indian Rd,0,0,0.0,0.0,16.4,153.4,10.6,11.92,30.130000000000003,0
